Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48375,Potter County,"Potter County, Texas",0,48,375,,16,0,,,,11,220,0,14,700,0,,0,,0,,0.01,0,13.23,0,48375,April
48377,Presidio County,"Presidio County, Texas",0,48,377,,,,,,,,,,,,,,,,,,,,,,48377,April
48379,Rains County,"Rains County, Texas",0,48,379,,,,,,,,,,,,,,,,,,,,,,48379,April
48381,Randall County,"Randall County, Texas",0,48,381,,17,0,,,,11,183.33,0,0,,0,,0,,0,,0.01,0,12.83,0,48381,April
48383,Reagan County,"Reagan County, Texas",0,48,383,,,,,,,,,,,,,,,,,,,,,,48383,April
48385,Real County,"Real County, Texas",0,48,385,,,,,,,,,,,,,,,,,,,,,,48385,April
48387,Red River County,"Red River County, Texas",0,48,387,,,,,,,,,,,,,,,,,,,,,,48387,April
48389,Reeves County,"Reeves County, Texas",0,48,389,,,,,,,,,,,,,,,,,,,,,,48389,April
48391,Refugio County,"Refugio County, Texas",0,48,391,,,,,,,,,,,,,,,,,,,,,,48391,April
48393,Roberts County,"Roberts County, Texas",0,48,393,,,,,,,,,,,,,,,,,,,,,,48393,April
48395,Robertson County,"Robertson County, Texas",0,48,395,,2,0,,,,0,0,0,1,100,0,,0,,0,,0.01,0,11.84,0,48395,April
48397,Rockwall County,"Rockwall County, Texas",0,48,397,,9,0,,,,4,80,0,0,,0,,0,,0,,0.01,0,9.61,0,48397,April
48399,Runnels County,"Runnels County, Texas",0,48,399,,,,,,,,,,,,,,,,,,,,,,48399,April
48401,Rusk County,"Rusk County, Texas",0,48,401,,5,0,,,,2,66.67,0,4,400,0,,0,,0,,0.01,0,9.33,0,48401,April
48403,Sabine County,"Sabine County, Texas",0,48,403,,,,,,,,,,,,,,,,,,,,,,48403,April
48405,San Augustine County,"San Augustine County, Texas",0,48,405,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,12.01,0,48405,April
48407,San Jacinto County,"San Jacinto County, Texas",0,48,407,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,3.59,0,48407,April
48409,San Patricio County,"San Patricio County, Texas",0,48,409,,2,0,,,,1,100,0,1,100,0,,0,,0,,0,0,2.98,0,48409,April
48411,San Saba County,"San Saba County, Texas",0,48,411,,,,,,,,,,,,,,,,,,,,,,48411,April
48413,Schleicher County,"Schleicher County, Texas",0,48,413,,,,,,,,,,,,,,,,,,,,,,48413,April
48415,Scurry County,"Scurry County, Texas",0,48,415,,,,,,,,,,,,,,,,,,,,,,48415,April
48417,Shackelford County,"Shackelford County, Texas",0,48,417,,,,,,,,,,,,,,,,,,,,,,48417,April
48419,Shelby County,"Shelby County, Texas",0,48,419,,2,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,7.85,0,48419,April
48421,Sherman County,"Sherman County, Texas",0,48,421,,,,,,,,,,,,,,,,,,,,,,48421,April
48423,Smith County,"Smith County, Texas",0,48,423,,43,1,,,,11,34.38,0,29,207.14,0,,1,,0,,0.02,0,19.11,0.44,48423,April
